userId,movieId,rating,timestamp
1,6,4.0,964982224
1,47,5.0,964983815
1,231,5.0,964981179
1,235,4.0,964980908
1,441,4.0,964980868
1,552,4.0,964982653
1,592,4.0,964982271
1,736,3.0,964982653
1,804,4.0,964980499
1,943,4.0,964983614
1,954,5.0,964983219
1,1024,5.0,964982876
1,1025,5.0,964982791
1,1030,3.0,964982903
1,1206,5.0,964983737
1,1220,5.0,964981909
1,1222,5.0,964981909
1,1224,5.0,964984018
1,1298,5.0,964984086
1,1500,4.0,964980985
1,1552,4.0,964982620
1,1587,5.0,964982346
1,1644,3.0,964983536
1,2033,5.0,964982903
1,2054,4.0,964981747
1,2105,4.0,964981725
1,2141,5.0,964982838
1,2174,4.0,964981680
1,2268,4.0,964982989
1,2273,4.0,964982310
1,2338,2.0,964983546
1,2387,5.0,964983123
1,2389,2.0,964983094
1,2414,3.0,964982513
1,2580,5.0,964983000
1,2596,5.0,964981144
1,2628,4.0,964980523
1,2640,4.0,964982377
1,2716,5.0,964983414
1,3062,4.0,964981872
1,3168,4.0,964982495
1,3479,4.0,964981725
1,3702,5.0,964983737
1,3729,5.0,964982363
1,3740,4.0,964982417
2,48516,4.0,1445715064
2,80489,4.5,1445715340
2,80906,5.0,1445715172
2,131724,5.0,1445714851
3,688,0.5,1306464228
3,914,0.5,1306463567
3,1263,0.5,1306463569
3,1275,3.5,1306463323
3,1302,0.5,1306464189
3,6238,0.5,1306464204
3,6835,5.0,1306463670
3,7899,4.5,1306464036
4,21,3.0,986935199
4,45,3.0,986935047
4,47,2.0,945173425
4,215,5.0,945079078
4,235,2.0,945173513
4,265,5.0,964538468
4,296,1.0,945173350
4,357,3.0,964623306
4,417,2.0,945078467
4,553,2.0,945079301
4,593,5.0,964539986
4,595,3.0,986848609
4,599,2.0,945078587
4,648,3.0,945079906
4,892,4.0,964622714
4,920,5.0,945173602
4,937,3.0,986849085
4,1046,5.0,945173654
4,1057,3.0,964540578
4,1079,2.0,945078946
4,1094,3.0,964538500
4,1103,5.0,964539723
4,1213,4.0,945079729
4,1304,3.0,945078467
4,1517,4.0,945079790
4,1641,4.0,964622758
4,1732,4.0,945079889
4,1733,5.0,945079143
4,1834,5.0,945174134
4,1860,2.0,986849001
4,1892,2.0,964539431
4,1895,4.0,945629179
4,1907,3.0,964540505
4,1968,4.0,986934786
4,2186,5.0,945174008
4,2351,4.0,945078467
4,2359,4.0,964622590
4,2395,3.0,964623306
4,2571,1.0,945173385
4,2599,5.0,964622684
4,2843,5.0,945078814
4,2858,5.0,964539140
4,2874,4.0,986935016
4,2921,4.0,945078708
4,3079,3.0,964778197
4,3175,1.0,964538930
